"id","name","link","address","rating","reviews","price_min","price_max"
29,"Ubay Hotel","https://www.tripadvisor.com/Hotel_Review-g293736-d3256692-Reviews-Ubay_Hotel-Rabat_Rabat_Sale_Kenitra.html","Angle Rue Ahmed Loukili et Beni Mellal Quatier Hassan, Rabat 10020 Morocco","3",19,"70","72"
30,"Dar El Karam","https://www.tripadvisor.com/Hotel_Review-g293736-d12316190-Reviews-Dar_El_Karam-Rabat_Rabat_Sale_Kenitra.html","5 Rue Lalla Hannou, Rabat 10030 Morocco","3",15,"25","31"
31,"Hotel Annakhil","https://www.tripadvisor.com/Hotel_Review-g293736-d1483485-Reviews-Hotel_Annakhil-Rabat_Rabat_Sale_Kenitra.html","23 Bis, Rue d'Alger, Rabat 10030 Morocco","2.5",15,"78","88"
33,"Riad L'Alcazar","https://www.tripadvisor.com/Hotel_Review-g293736-d2554721-Reviews-Riad_L_Alcazar-Rabat_Rabat_Sale_Kenitra.html","4 Impasse Benabdallah Bab Laalou, Rabat 10000 Morocco","4.5",131,"141","158"
34,"Riad Dar Mayssane","https://www.tripadvisor.com/Hotel_Review-g293736-d1736464-Reviews-Riad_Dar_Mayssane-Rabat_Rabat_Sale_Kenitra.html","13 rue Faran - Khechen, Rabat 10000 Morocco","4.5",174,"92","106"
35,"Stayhere Rabat - Agdal 1 - Comfort Residence","https://www.tripadvisor.com/Hotel_Review-g293736-d24988770-Reviews-Stayhere_Rabat_Agdal_1_Comfort_Residence-Rabat_Rabat_Sale_Kenitra.html","Rue Oued Fès, Rabat 10000 Morocco","5",1,"69","101"
36,"Riad Kalaa 2","https://www.tripadvisor.com/Hotel_Review-g293736-d7757043-Reviews-Riad_Kalaa_2-Rabat_Rabat_Sale_Kenitra.html","8 Rue Acam Ancienne Medina, Rabat 10030 Morocco","4.5",196,"116","157"
37,"Riad Dar Karima","https://www.tripadvisor.com/Hotel_Review-g293736-d2715284-Reviews-Riad_Dar_Karima-Rabat_Rabat_Sale_Kenitra.html","8 Rue Jamaa Moreno, Rabat 10000 Morocco","4.5",78,"94","113"
39,"Riad Dar El Mesk","https://www.tripadvisor.com/Hotel_Review-g293736-d23230051-Reviews-Riad_Dar_El_Mesk-Rabat_Rabat_Sale_Kenitra.html","17 Impasse El Kalkhe, Avenue Mohammed, Rabat 10000 Morocco","3",2,"30","36"
40,"Dar Al Miraaj","https://www.tripadvisor.com/Hotel_Review-g293736-d518581-Reviews-Dar_Al_Miraaj-Rabat_Rabat_Sale_Kenitra.html","7 Rue Jirari, Rabat 10030 Morocco","5",3,"143","171"
