"id","name","link","menu_link","rating","reviews","price"
62,"Le Relais de Paris du Diwan","https://www.tripadvisor.com/Restaurant_Review-g293736-d26240951-Reviews-Le_Relais_de_Paris_du_Diwan-Rabat_Rabat_Sale_Kenitra.html",NULL,"5",21,NULL
63,"La Table de l'Amiral","https://www.tripadvisor.com/Restaurant_Review-g293736-d23762074-Reviews-La_Table_de_l_Amiral-Rabat_Rabat_Sale_Kenitra.html","https://carte.latabledelamiral.com/lacartedelatabledelamiral.pdf","3.5",48,"$$ - $$$"
64,"Sushi Box","https://www.tripadvisor.com/Restaurant_Review-g293736-d6717619-Reviews-Sushi_Box-Rabat_Rabat_Sale_Kenitra.html",NULL,"3.5",108,"$$ - $$$"
65,"Tajine Wa Tanjia","https://www.tripadvisor.com/Restaurant_Review-g293736-d1631863-Reviews-Tajine_Wa_Tanjia-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",378,"$$ - $$$"
66,"Little Mamma Agdal","https://www.tripadvisor.com/Restaurant_Review-g293736-d25291982-Reviews-Little_Mamma_Agdal-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",9,"$$ - $$$"
67,"Le Georges","https://www.tripadvisor.com/Restaurant_Review-g293736-d7285500-Reviews-Le_Georges-Rabat_Rabat_Sale_Kenitra.html","https://www.facebook.com/legeorgesrabat/menu","4",182,"$$$$"
68,"Oteppan","https://www.tripadvisor.com/Restaurant_Review-g293736-d23116194-Reviews-Oteppan-Rabat_Rabat_Sale_Kenitra.html","https://www.calameo.com/read/0039912137773239f135a","4.5",13,"$$ - $$$"
69,"La Tour Hassan","https://www.tripadvisor.com/Restaurant_Review-g293736-d6885459-Reviews-La_Tour_Hassan-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",33,"$$ - $$$"
70,"99 Sushi Bar & Restaurant Rabat","https://www.tripadvisor.com/Restaurant_Review-g293736-d25260691-Reviews-99_Sushi_Bar_Restaurant_Rabat-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",20,"$$$$"
71,"Uni Sushibar","https://www.tripadvisor.com/Restaurant_Review-g293736-d26714783-Reviews-Uni_Sushibar-Rabat_Rabat_Sale_Kenitra.html","https://bit.ly/Unisushibar_menu","4",19,"$$ - $$$"
72,"Niamat Shoul Ferme Pédagogique","https://www.tripadvisor.com/Restaurant_Review-g293736-d23752676-Reviews-Niamat_Shoul_Ferme_Pedagogique-Rabat_Rabat_Sale_Kenitra.html",NULL,"5",7,NULL
73,"Restaurant Les Deux Palais","https://www.tripadvisor.com/Restaurant_Review-g293736-d8526001-Reviews-Restaurant_Les_Deux_Palais-Rabat_Rabat_Sale_Kenitra.html",NULL,"3.5",124,"$$ - $$$"
74,"Poissons El Alami","https://www.tripadvisor.com/Restaurant_Review-g293736-d13814367-Reviews-Poissons_El_Alami-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",13,"$$ - $$$"
75,"Cedric Graulet","https://www.tripadvisor.com/Restaurant_Review-g293736-d17416398-Reviews-Cedric_Graulet-Rabat_Rabat_Sale_Kenitra.html","https://www.facebook.com/traiteurcedricgrauletT","4",47,"$$$$"
76,"El Barrio Latino","https://www.tripadvisor.com/Restaurant_Review-g293736-d1748084-Reviews-El_Barrio_Latino-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",87,"$$ - $$$"
77,"Moojood - More Than Food","https://www.tripadvisor.com/Restaurant_Review-g293736-d23687536-Reviews-Moojood_More_Than_Food-Rabat_Rabat_Sale_Kenitra.html","https://www.order-moojood.ma/fr/store/Moojood-rabat-2/1075099","5",22,"$"
78,"Clay Oven Rabat","https://www.tripadvisor.com/Restaurant_Review-g293736-d16849885-Reviews-Clay_Oven_Rabat-Rabat_Rabat_Sale_Kenitra.html","http://www.clayoven.ma/menu.php?name=ENTRÉES","4.5",52,"$$ - $$$"
